# GlueX 2022 gamma p -> jpsi p differential cross-sections (E_avg = 10.8205 GeV)
#i     -t_mean     dsigma/dt   error       tlow    thigh   Emean
 0      0.456121    1.62994     0.235662    0.35    0.49    10.9554
 1      0.60301     1.1638      0.139597    0.49    0.77    10.8654
 2      0.880241    1.02699     0.0932052   0.77    1       10.8536
 3      1.1795      0.5354      0.0478277   1       1.5     10.857
 4      1.69151     0.244701    0.0302989   1.5     2       10.8585
 5      2.2399      0.172119    0.0252216   2       2.5     10.8279
 6      2.87197     0.0731651   0.0146614   2.5     3.5     10.8182
 7      3.91927     0.0519596   0.00982106  3.5     4.5     10.8106
 8      4.93167     0.0165854   0.00542215  4.5     5.75    10.7792
 9      6.97156     0.00582527  0.00278681  5.75    8.1     10.7027
 10     8.36088     0.0047725    0.0024587  8.1     10.3    10.6972
