# GlueX 2022 gamma p -> jpsi p integrated cross-sections
#i      E_mean  sigma       error       E_low   E_high
 0      8.29    0.04411     0.03069     8.2     8.38
 1      8.47    0.13752     0.03431     8.38    8.56
 2      8.65    0.25215     0.04131     8.56    8.74
 3      8.83    0.32990     0.05097     8.74    8.92
 4      9.01    0.22654     0.08680     8.92    9.1
 5      9.19    0.18879     0.05881     9.1     9.28
 6      9.37    0.51052     0.09139     9.28    9.46
 7      9.55    0.78648     0.16216     9.46    9.64
 8      9.73    0.51886     0.08290     9.64    9.82
 9      9.91    0.70360     0.15645     9.82    10
 10     10.09   0.79588     0.12850     10      10.18
 11     10.27   0.81328     0.12925     10.18   10.36
 12     10.45   1.37679     0.20998     10.36   10.54
 13     10.63   0.96900     0.16531     10.54   10.72
 14     10.81   1.14295     0.14522     10.72   10.9
 15     10.99   1.09218     0.12515     10.9    11.08
 16     11.17   1.56346     0.24425     11.08   11.26
 17     11.35   1.84710     0.34661     11.26   11.44
